Names,URLs,Prices,Ratings,ASIN
"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey  ",https://www.amazon.in//Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_189?keywords=bags&qid=1692735670&sr=8-189,"₹1,999",4.4,B08HM4TQZZ
Nelle Harper Women's Handbag  ,https://www.amazon.in//Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_190?keywords=bags&qid=1692735670&sr=8-190,"₹1,029",3.7,B07JGQM7DC
Arctic Fox Joker Anti Theft Backpack with USB Charging Port 15 Inch Laptop Backpack  ,https://www.amazon.in//Arctic-Fox-Backpack-Charging-Laptop/dp/B08RS6FXYT/ref=sr_1_191?keywords=bags&qid=1692735670&sr=8-191,"₹1,815",4.5,B08RS6FXYT
Wildcraft Nylon 7 inch Imp_Blue Travel Duffle (11550)  ,https://www.amazon.in//Wildcraft-Imp_Blue-Travel-Duffle-11550/dp/B075T95K1Z/ref=sr_1_192_mod_primary_new?keywords=bags&qid=1692735670&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-192,₹845,4.3,B075T95K1Z
"ASUS ROG BP4701 43.18 cm Gaming Backpack (Black), with Holographic Cybertext Printing, Roll Up Design, Suitable for up to 43.18 cm Laptop  ",https://www.amazon.in//ASUS-BP4701-Backpack-Holographic-Cybertext/dp/B093HFM14H/ref=sr_1_193?keywords=bags&qid=1692735670&sr=8-193,"₹2,199",4.4,B093HFM14H
ADISA Laptop Backpack 31 Ltrs  ,https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_194?keywords=bags&qid=1692735670&sr=8-194,₹399,4.0,B07G3CG9FC
"Zebronics Techshield A1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)  ",https://www.amazon.in//Zebronics-Techshield-Compartment-15-6-inch-Polyester/dp/B0C6QTMYFG/ref=sr_1_195?keywords=bags&qid=1692735670&sr=8-195,₹599,5.0,B0C6QTMYFG
"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)  ",https://www.amazon.in//Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH/ref=sr_1_196?keywords=bags&qid=1692735670&sr=8-196,₹395,4.1,B09KNMWWPH
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Red | Size - 35L  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MzM3ODk1OTU5MTQ0NTk4OjE2OTI3MzU2NzA6c3BfYnRmOjMwMDAzNjc2MTg4MjQzMjo6MDo6&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCDVGKW%2Fref%3Dsr_1_197_sspa%3Fkeywords%3Dbags%26qid%3D1692735670%26sr%3D8-197-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,₹690,,B0CDCDVGKW
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Blue | Size - 35L (3024)  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3MzM3ODk1OTU5MTQ0NTk4OjE2OTI3MzU2NzA6c3BfYnRmOjMwMDAzNjc2MTg4MjEzMjo6MDo6&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCHXM5F%2Fref%3Dsr_1_198_sspa%3Fkeywords%3Dbags%26qid%3D1692735670%26sr%3D8-198-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹1,250",,B0CDCHXM5F
MALIK TRADES Sport Chairman Laptop Bag | Premium Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook GREY/  ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4ODc1MjQyNjU4NTYwNTk4OjE2OTI3MzU2ODE6c3BfYXRmX25leHQ6MjAxNTg5MDM1MTQ0OTg6OjA6Og&url=%2FMALIK-TRADES-Chairman-Business-Backpack%2Fdp%2FB0BZD659VT%2Fref%3Dsr_1_193_sspa%3Fkeywords%3Dbags%26qid%3D1692735681%26sr%3D8-193-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹2,000",,B0BZD659VT
"Ransel School Bag, Laptop Bagpack, Huge Bagpack by Jai Guru Ji Creations| Colour - Peach | Size - 35L  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4ODc1MjQyNjU4NTYwNTk4OjE2OTI3MzU2ODE6c3BfYXRmX25leHQ6MzAwMDM2NzYxODgyMDMyOjowOjo&url=%2FRansel-School-Bag-Bagpack-Creations%2Fdp%2FB0CDCGV3FZ%2Fref%3Dsr_1_194_sspa%3Fkeywords%3Dbags%26qid%3D1692735681%26sr%3D8-194-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹1,220",,B0CDCGV3FZ
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",https://www.amazon.in//FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_195?keywords=bags&qid=1692735681&sr=8-195,₹799,4.4,B0BYSZ3TKW
Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag  ,https://www.amazon.in//Lavie-Odiase-Womens-Satchel-Handbag/dp/B08SW9RJ75/ref=sr_1_196?keywords=bags&qid=1692735681&sr=8-196,"₹1,099",4.1,B08SW9RJ75
